Income,Recency,NumWebVisitsMonth,Complain,age,total_purchases,enrollment_years,family_size
48799.0,9,3,0,58,15,9,2
52157.0,48,4,0,71,12,8,3
66565.0,80,8,0,59,19,10,2
29298.0,60,5,0,70,4,9,4
47691.0,43,6,0,42,4,9,2
38200.0,19,7,0,51,4,10,4
44989.0,26,6,0,47,16,10,3
38443.0,58,7,0,53,6,8,4
38593.0,42,8,0,43,11,9,2
64413.0,27,5,0,51,12,9,3
36959.0,56,8,0,40,7,9,3
61996.0,27,5,0,44,21,9,3
51287.0,10,7,0,53,11,8,4
13260.0,48,8,0,51,10,9,4
47472.0,39,5,0,55,8,9,4
54603.0,85,7,0,65,16,9,4
45207.0,64,6,0,47,15,10,4
40689.0,69,8,0,70,20,9,3
47821.0,54,8,0,54,5,9,4
27450.0,57,7,0,70,7,9,2
39453.0,64,6,0,38,7,8,3
26850.0,10,4,0,50,11,8,4
79800.0,65,3,0,66,22,10,1
61794.0,74,2,0,60,20,9,3
53863.0,4,7,0,66,18,8,3
24221.0,94,4,0,62,6,9,2
39684.0,41,7,1,37,7,10,2
92163.0,25,2,0,46,21,10,2
69882.0,94,1,0,56,20,9,1
33178.0,9,4,0,44,5,8,3
59973.0,47,1,0,49,15,9,2
17459.0,12,7,0,46,9,9,3
23910.0,80,7,0,52,6,10,2
42169.0,20,8,0,52,6,9,4
26224.0,39,6,0,43,9,9,3
31089.0,57,8,0,40,10,10,3
30081.0,27,7,0,60,5,9,2
62807.0,83,5,0,61,23,10,3
72906.0,79,1,0,66,17,9,1
61467.0,69,5,0,73,20,10,4
49618.0,77,7,0,55,11,9,4
21888.0,15,10,0,35,12,10,2
42429.0,99,5,0,48,7,8,2
26150.0,61,7,0,65,5,9,4
30801.0,23,7,0,46,6,10,3
81168.0,84,3,0,56,18,8,2
26877.0,74,6,0,52,12,9,1
45006.0,90,3,0,77,12,9,1
18978.0,41,8,0,48,5,10,3
22574.0,28,7,0,54,7,9,5
48240.0,73,5,0,52,25,10,1
45837.0,88,7,0,47,18,9,4
35791.0,94,8,0,56,6,9,4
162397.0,31,1,0,45,1,9,4
54162.0,31,4,0,43,5,9,3
30522.0,6,2,0,61,17,10,3
54456.0,23,6,0,60,17,9,3
31632.0,92,7,0,50,6,9,1
72298.0,52,1,0,72,14,8,1
36975.0,50,7,0,43,5,9,2
72635.0,54,3,0,66,21,9,2
13624.0,93,6,0,45,7,9,3
84196.0,56,3,0,46,20,9,2
70971.0,28,7,0,61,34,10,3
34487.0,94,9,0,44,9,10,3
28769.0,76,9,0,44,12,10,2
69084.0,43,8,0,51,25,9,3
65488.0,46,1,0,63,14,8,2
62466.0,13,4,0,51,26,8,3
32218.0,27,7,0,61,7,8,1
83917.0,12,3,0,48,21,9,1
46102.0,3,7,0,59,4,8,4
84574.0,72,5,0,69,32,9,1
56181.0,6,4,0,59,14,9,3
63120.0,53,7,0,71,26,10,2
73691.0,58,2,0,50,18,9,3
63381.0,78,2,0,61,26,10,3
76140.0,57,2,0,73,21,8,2
62859.0,37,6,0,62,23,10,2
45906.0,20,5,0,57,15,9,2
77632.0,73,2,0,74,13,9,2
46463.0,56,6,0,50,17,9,4
105471.0,36,3,0,51,30,9,2
55282.0,9,4,0,51,11,9,2
78710.0,42,4,0,44,28,8,3
66886.0,28,5,0,63,17,9,3
98777.0,23,1,0,61,19,8,1
29103.0,38,9,0,36,6,10,3
67445.0,63,6,0,47,32,10,3
50616.0,71,2,0,71,7,8,3
49431.0,9,8,0,66,15,10,2
153924.0,81,0,0,46,0,8,1
61278.0,87,6,0,68,10,8,3
26490.0,92,6,0,63,11,10,2
73059.0,36,4,0,74,26,9,3
46734.0,86,6,0,55,12,9,4
56253.0,83,6,0,58,22,10,3
19986.0,74,7,0,36,4,9,3
58330.0,87,4,0,46,24,9,2
25965.0,29,8,0,41,6,10,2
14661.0,88,6,0,65,5,9,2
18690.0,77,8,0,62,5,10,2
45068.0,25,7,0,47,4,9,3
21063.0,34,6,0,34,7,9,2
29187.0,43,8,0,53,5,9,3
54690.0,76,3,0,50,12,9,4
59304.0,81,5,0,57,28,9,3
59247.0,87,6,0,59,21,9,3
66731.0,33,3,0,51,17,10,2
77353.0,38,4,0,41,20,9,3
52614.0,63,8,0,46,16,10,2
26751.0,26,8,0,47,4,8,4
81300.0,17,5,0,58,21,10,3
70337.0,75,1,0,42,17,8,1
36145.0,13,9,0,36,12,9,3
65295.0,19,2,0,41,20,9,1
68118.0,51,6,0,58,23,9,2
68743.0,81,7,0,54,30,10,1
41039.0,32,8,0,39,15,9,2
38946.0,84,5,0,66,12,9,3
65777.0,87,1,0,54,17,9,2
66476.0,99,4,0,45,20,9,2
86857.0,96,2,0,49,22,10,1
160803.0,21,0,0,39,44,10,2
77845.0,40,1,0,32,21,8,2
69476.0,3,2,0,52,15,9,2
50611.0,98,6,0,61,22,10,2
61209.0,73,2,0,51,13,9,1
42315.0,90,3,0,63,12,9,3
13084.0,29,6,0,69,5,9,2
47570.0,3,7,0,72,9,9,3
61923.0,94,3,0,60,8,9,4
34824.0,65,6,0,26,4,8,1
26518.0,33,8,0,72,8,9,3
45938.0,46,6,0,60,20,9,1
78468.0,29,4,0,61,28,8,2
78901.0,99,4,0,48,20,9,2
71427.0,26,4,0,43,20,8,4
71022.0,30,8,0,43,21,8,2
90247.0,27,1,0,33,15,8,1
41335.0,24,7,0,53,12,9,2
71952.0,93,4,0,35,22,9,3
35682.0,34,2,0,51,6,8,2
43185.0,88,8,0,70,20,9,2
66375.0,96,7,0,73,14,9,3
35178.0,10,7,0,50,5,9,3
25252.0,26,8,0,35,4,9,3
55250.0,49,5,0,56,26,10,2
33249.0,11,6,0,46,8,9,2
58398.0,44,4,0,68,20,9,2
50272.0,75,7,0,39,13,9,3
76618.0,64,1,0,46,11,10,2
87305.0,19,2,0,61,17,10,1
25851.0,45,7,0,43,7,9,3
58710.0,77,6,0,51,31,9,2
45160.0,9,7,0,63,4,8,3
74806.0,1,4,0,56,16,10,3
59111.0,90,7,0,67,21,9,2
18988.0,43,7,0,37,6,8,3
72190.0,79,3,0,56,16,9,2
7500.0,19,9,0,45,12,10,3
44794.0,99,6,0,55,6,8,3
80395.0,62,2,0,66,24,9,2
75012.0,41,1,0,45,23,8,1
56962.0,60,7,0,56,21,9,5
89891.0,17,4,0,30,26,9,2
35946.0,24,5,0,72,4,9,3
53593.0,60,8,0,68,23,10,4
66373.0,57,3,0,43,23,9,4
45072.0,74,8,0,73,16,9,4
89694.0,22,5,0,48,14,9,3
72025.0,46,2,0,72,26,8,2
67432.0,69,4,0,48,19,9,3
70545.0,29,2,0,69,13,8,3
17487.0,37,7,0,32,4,9,3
62882.0,26,4,0,52,20,10,3
64108.0,8,5,0,68,30,9,2
34941.0,26,8,0,65,8,9,4
48767.0,79,5,0,71,9,8,4
38702.0,71,6,0,43,9,9,3
82224.0,83,3,0,57,21,8,2
83844.0,57,1,0,69,20,9,2
17003.0,37,5,0,46,9,9,3
71163.0,30,1,0,26,24,8,1
